PEP_ID,PEP_Name,Position_Title,Ministry_Agency,Years_In_Office,Property_Location,Property_Type,Property_District,Estimated_Value_USD,Purchase_Year,Official_Annual_Salary_NGN,Total_Govt_Salary_Period,Wealth_Variance_USD,Evidence_Source,Registry_Reference,Related_Contracts,Investigation_Status,Notes
# 3. Ministers who signed Chinese loan contracts → Properties acquired shortly after
# 4. Contractors who received inflated contracts → Massive property portfolios
# 5. Timing: Property purchases spike during tenures, not before or long after

### EVIDENCE HIERARCHY:
# Tier 1: Public land registries (Dubai DLD, UK Land Registry) - Verifiable
# Tier 2: International investigations (ICIJ, OCCRP, Carnegie) - Credible
# Tier 3: Nigerian investigative journalism (Premium Times, ICIR) - Reliable
# Tier 4: Whistleblower reports - Requires corroboration

### USAGE INSTRUCTIONS:
# 1. Cross-reference PEP names with Federal Loans Database (who signed contracts?)
# 2. Check purchase dates against loan signing dates and disbursement schedules
# 3. Calculate wealth variance (property value vs. declared govt income)
# 4. Use in FOIA requests: "Declare all foreign assets for [PEP Name] during [Period]"
# 5. Report to: Dubai FIU, UK NCA, Swiss authorities (see contact directory)
# 6. Support SERAP and civil society asset recovery lawsuits
# 7. Demand Code of Conduct Bureau publish all asset declarations
# 8. Make this data public - Nigerians must see where their money went

### NEXT STEPS FOR ASSET RECOVERY:
# 1. File formal reports with Dubai Financial Intelligence Unit (goAML portal)
# 2. UK: Submit Suspicious Activity Reports to NCA (https://www.ukciu.gov.uk/sar-online)
# 3. Switzerland: Request Mutual Legal Assistance (irh@bj.admin.ch)
# 4. Freeze orders: Work with EFCC/SERAP to request international asset freezes
# 5. Repatriation: Follow Swiss-Nigeria asset return precedent (previous cases)
# 6. Prosecute: Use recovered assets as evidence in corruption trials
# 7. Publish: Full transparency on recovered amounts and destination of funds

### DATA GAPS (Require Further Investigation):
# 1. Swiss bank account details (protected by banking secrecy laws)
# 2. Beneficial ownership of shell companies (some jurisdictions still opaque)
# 3. Properties in other tax havens (Cayman, BVI, Panama)
# 4. Full list of UK properties (Land Registry requires individual searches)
# 5. US properties (some states have public records, others don't)
# 6. Family members' properties (children, spouses often used as proxies)
# 7. Recent purchases (2023-2024 data may not yet be in leaks)

### LEGAL CONSIDERATIONS:
# - Use publicly available data only to avoid defamation claims
# - Cite sources meticulously
# - Focus on patterns and variance, not unproven accusations
# - Support civil society legal actions rather than individual allegations
# - Frame as "accountability demands" not "accusations"
# - Always provide PEPs opportunity to explain wealth sources (burden shifts to them under EFCC Act)

### CONTACT FOR REPORTING:
# Dubai: Dubai Land Dept (info@dubailand.gov.ae) + UAE FIU (goAML system)
# UK: NCA Fraud Division (reportafraud@landregistry.gov.uk)
# Switzerland: Federal Justice Office (irh@bj.admin.ch, +41 58 462 11 20)
# Nigeria: EFCC (info@efcc.gov.ng), ICPC (contactus@icpc.gov.ng), SERAP (info@serap-nigeria.org)
# Media: ICIR (contact@icirnigeria.org), Premium Times CIJ (info@ptcij.org)

### VERIFICATION METHODS:
# Dubai: Public DLD searches (some require payment)
# UK: Land Registry searches (£3 per property, public access)
# Shell Companies: OpenCorporates.com, ICIJ Offshore Leaks Database
# Asset Declarations: Code of Conduct Bureau (should be public, currently restricted)
# Cross-Check: Compare declared assets with purchased properties

VERSION: 1.0 (December 2024)
UPDATES: Crowd-source additional PEPs and properties; verify via public registries; add as evidence emerges
CONTRIBUTORS NEEDED: Researchers, investigators, lawyers, data analysts, journalists
DISTRIBUTION: Share widely with BudgIT, SERAP, CISLAC, TI-Nigeria, international partners
