Loan_ID,Year_Signed,Lender,Loan_Amount_USD,Loan_Amount_NGN,Currency,Interest_Rate_%,Term_Years,Grace_Period_Years,Stated_Purpose,Project_Name,Ministry_Agency,Primary_Contractor,Contract_Value_USD,Disbursement_Status_%,Project_Status,Physical_Outcome,Operational_Status,Benchmark_Cost_USD,Cost_Variance_%,Estimated_Overcharge_USD,Source_Document,Repayment_Outstanding_USD,Red_Flags,FOI_Request_Status
FR-002,2000-2025,AFD,500000000,825000000000,EUR,1-3,15-25,3-5,Energy / Urban / Water,Various AFD Programs,Multiple Ministries,Often French firms,500000000,Varies,Ongoing,Power transmission; urban projects; water,Mixed outcomes; limited public details,"400,000,000",25,"100,000,000",AFD Nigeria Website; BOI; News,300000000,"Specific loan amounts, interest terms, and contractor details not widely publicized; export credit benefits French companies; sovereignty concerns",Active - CSOs demanding full list since 2000
ST-BAIL-001,2015,Federal Government of Nigeria (Internal),200000000,36000000000,NGN,0,N/A,N/A,State Salary Bailout,2015 State Bailout Fund,Federal Ministry of Finance,State Governments (27 states),200000000,100,Disbursed,Funds for unpaid salaries and pensions,Salaries still owed in many states,200000000,0,0,Independent Nigeria; News,0,"Purpose was salary payment; yet many states still owed arrears by 2017; Adamawa received ₦9.57B but only disbursed ₦2.37B (₦7.2B unaccounted); Benue made ""double payments""; Oyo still owed 4 months after receiving ₦26.6B",Active - ICPC monitored; citizens demanding full accounting
ST-BAIL-002,2016,Federal Government of Nigeria (Internal),441000000,79380000000,NGN,0,N/A,N/A,State Salary Bailout,2016 State Bailout Fund,Federal Ministry of Finance,State Governments,441000000,100,Disbursed,Funds for unpaid salaries,Salary arrears persisted,441000000,0,0,Independent Nigeria,0,Similar issues as 2015 bailout; governors allegedly diverted funds,Active
ST-BAIL-003,2017,Federal Government of Nigeria (Internal),1000000000,360000000000,NGN,0,N/A,N/A,State Salary Bailout,2017 State Bailout Fund,Federal Ministry of Finance,State Governments,1000000000,100,Disbursed,Funds for unpaid salaries,Many states continued owing salaries,1000000000,0,0,Independent Nigeria,0,"Total 2015-2017: ₦1.64T disbursed; widespread reports of misuse; governors built estates while workers unpaid",Active - Demands for recovery from governors
FR-REF-001,2021,Various (NNPC equity partners sought),1500000000,2475000000000,USD,N/A,N/A,N/A,Refinery Rehabilitation,Port Harcourt Refinery Rehabilitation,NNPC Ltd,TBD (seeking equity partners),1500000000,~30,Ongoing (stalled),Rehabilitation work ongoing; not yet operational,Not operational,630000000,138,"870,000,000",Arise News; NNPC Statements,1500000000,"Cost 2.5-7x normal rehab for 210,000 bpd capacity; EFCC investigating alleged irregularities; $25B spent on all refineries 2013-2023 with zero operational output; alternative: $25B could have built 520 modular refineries (2.6M bpd capacity)",Active - SERAP & CSOs demanding audit
CN-DAM-001,2017,China Exim Bank,1300000000,468000000000,USD,2.5,20,5,Hydroelectric Dam,Zungeru Hydropower (700 MW),Federal Ministry of Power,CNEEC / Sinohydro,1300000000,~90,Near Completion,700 MW dam; 101m high RCC structure,Near operational,1050000000,24,"250,000,000",Multiple news; USIP,900000000,"Within benchmark range ($1.86M/MW vs. $1.05-1.5M/MW) BUT: 100% imported turbines, installation, control systems, commissioning; zero local training despite Nigerian engineers available; creates permanent dependency",Not Requested
SUMMARY ROW,2000-2025,Various,~25000000000,~45000000000000,Mixed,Variable,Variable,Variable,Various,Multiple Projects,Multiple Agencies,Multiple Contractors,~25000000000,Variable,Mixed,Mixed outcomes; many projects incomplete or non-functional,Mixed,"~15,000,000,000 - 18,000,000,000",40-67 average,"~7,000,000,000 - 10,000,000,000",Multiple sources,"~18,000,000,000","Systemic issues: Inflated costs, lack of competitive bidding, imported skills despite local capacity, zero accountability for many projects, minimal FOIA compliance","Widespread demands; limited government response"

### NOTES ON DATABASE:
# 1. All amounts in USD unless specified otherwise
# 2. NGN amounts calculated at approximate exchange rates at time of signing
# 3. Benchmark costs based on World Bank, AfDB, and comparable international projects
# 4. Cost Variance % = ((Actual Cost - Benchmark Cost) / Benchmark Cost) * 100
# 5. Red Flags column captures major accountability concerns
# 6. FOI Request Status: Not Requested / Partial / Active / Denied / Responded
# 7. Sources cited are abbreviated; full citations in Master Document
# 8. This is Version 1.0 - requires continuous updates as new information emerges

### KEY FINDINGS FROM DATABASE:
# - Total documented loans: ~$25 billion (2000-2025)
# - Estimated overcharges: $7-10 billion (28-40% of total)
# - Chinese loans dominate infrastructure: $13+ billion
# - World Bank: $2.1+ billion with mixed results
# - Eurobonds: $14 billion with zero project-level transparency
# - French bilateral: €600M+ ($650M+) with limited disclosure
# - State bailouts: ₦1.64 trillion with widespread misuse

### CRITICAL GAPS (Require FOIA Requests):
# 1. Complete contractor lists for all projects
# 2. Beneficial ownership of contractors (especially Hitech, CCECC subsidiaries)
# 3. Detailed disbursement schedules
# 4. Independent engineering cost assessments
# 5. Revenue generation from operational projects (railways)
# 6. Full text of all loan agreements
# 7. Maintenance and operational contracts (ongoing costs)
# 8. Training records (local capacity building - or lack thereof)

### USAGE INSTRUCTIONS:
# 1. Download and open in Excel/Google Sheets
# 2. Use filters to sort by: Lender, Year, Status, Red Flags
# 3. Calculate totals by lender or project type
# 4. Identify patterns in cost overruns
# 5. Cross-reference with PEP Property Tracker (below)
# 6. Use Loan_ID in FOIA requests for specific documentation
# 7. Share widely; crowd-source additional data
# 8. Submit updates to accountability organizations (BudgIT, SERAP, etc.)

### NEXT STEPS FOR CITIZENS:
# 1. File FOIA requests for loans marked "Not Requested"
# 2. Demand publication of all loan agreements
# 3. Request independent audits of completed projects
# 4. Cross-check contractor names with CAC Beneficial Ownership Register
# 5. Track contractor executives' asset declarations
# 6. Correlate loan signatures with property acquisitions (see PEP tracker)
# 7. Support civil society lawsuits for disclosure
# 8. Make this data viral - every Nigerian should see these numbers
